fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241118.194800	1	42	1	358859	1600	7.079	7.079
20241118.194844	1	42	1	358859	1800	7.999	7.999
20241118.194925	1	42	1	358859	2000	8.649	8.649
20241118.195008	1	42	1	358859	2200	8.039	8.039
20241118.195050	1	42	1	358859	2400	8.539	8.539
20241118.195131	1	42	1	613007	1600	5.829	5.829
20241118.195212	1	42	1	613007	1800	6.799	6.799
20241118.195253	1	42	1	613007	2000	6.579	6.579
20241118.195333	1	42	1	613007	2200	7.539	7.539
20241118.195414	1	42	1	613007	2400	8.099	8.099
20241118.195456	1	42	1	350593	1600	6.249	6.249
20241118.195536	1	42	1	350593	1800	6.039	6.039
20241118.195617	1	42	1	350593	2000	6.629	6.629
20241118.195700	1	42	1	350593	2200	6.769	6.769
20241118.195743	1	42	1	350593	2400	6.669	6.669
20241118.195825	1	42	1	935059	1600	5.419	5.419
20241118.195907	1	42	1	935059	1800	5.599	5.599
20241118.195947	1	42	1	935059	2000	5.069	5.069
20241118.200031	1	42	1	935059	2200	5.649	5.649
20241118.200115	1	42	1	935059	2400	6.659	6.659
20241118.200159	1	42	1	540187	1600	5.899	5.899
20241118.200239	1	42	1	540187	1800	5.679	5.679
20241118.200320	1	42	1	540187	2000	5.079	5.079
20241118.200401	1	42	1	540187	2200	5.209	5.209
20241118.200442	1	42	1	540187	2400	4.879	4.879
20241118.200527	1	42	1	340649	1600	6.639	6.639
20241118.200608	1	42	1	340649	1800	7.179	7.179
20241118.200648	1	42	1	340649	2000	6.959	6.959
20241118.200729	1	42	1	340649	2200	6.399	6.399
20241118.200810	1	42	1	340649	2400	7.369	7.369
20241118.200852	1	42	1	589807	1600	6.759	6.759
20241118.200932	1	42	1	589807	1800	6.489	6.489
20241118.201013	1	42	1	589807	2000	6.639	6.639
20241118.201054	1	42	1	589807	2200	6.919	6.919
20241118.201136	1	42	1	589807	2400	6.829	6.829
20241118.201219	1	42	1	762101	1600	6.999	6.999
20241118.201300	1	42	1	762101	1800	6.839	6.839
20241118.201342	1	42	1	762101	2000	6.269	6.269
20241118.201423	1	42	1	762101	2200	6.099	6.099
20241118.201505	1	42	1	762101	2400	6.219	6.219
20241118.201548	1	42	1	949589	1600	6.309	6.309
20241118.201628	1	42	1	949589	1800	6.089	6.089
20241118.201710	1	42	1	949589	2000	5.929	5.929
20241118.201753	1	42	1	949589	2200	6.469	6.469
20241118.201841	1	42	1	949589	2400	7.509	7.509
20241118.201924	1	42	1	406253	1600	6.749	6.749
20241118.202005	1	42	1	406253	1800	7.809	7.809
20241118.202045	1	42	1	406253	2000	7.569	7.569
20241118.202126	1	42	1	406253	2200	7.389	7.389
20241118.202206	1	42	1	406253	2400	7.159	7.159
20241118.202248	1	42	1	238313	1600	7.839	7.839
20241118.202329	1	42	1	238313	1800	7.629	7.629
20241118.202410	1	42	1	238313	2000	7.059	7.059
20241118.202451	1	42	1	238313	2200	6.799	6.799
20241118.202531	1	42	1	238313	2400	6.269	6.269
20241118.202613	1	42	1	953977	1600	6.519	6.519
20241118.202656	1	42	1	953977	1800	7.389	7.389
20241118.202735	1	42	1	953977	2000	7.609	7.609
20241118.202816	1	42	1	953977	2200	7.509	7.509
20241118.202856	1	42	1	953977	2400	7.269	7.269
20241118.202938	1	42	1	532783	1600	5.899	5.899
20241118.203019	1	42	1	532783	1800	6.079	6.079
20241118.203059	1	42	1	532783	2000	5.949	5.949
20241118.203139	1	42	1	532783	2200	5.419	5.419
20241118.203220	1	42	1	532783	2400	6.429	6.429
20241118.203301	1	42	1	556459	1600	5.579	5.579
20241118.203342	1	42	1	556459	1800	5.689	5.689
20241118.203422	1	42	1	556459	2000	6.309	6.309
20241118.203503	1	42	1	556459	2200	6.089	6.089
20241118.203543	1	42	1	556459	2400	7.089	7.089
20241118.203625	1	42	1	432557	1600	6.629	6.629
20241118.203706	1	42	1	432557	1800	6.489	6.489
20241118.203746	1	42	1	432557	2000	6.309	6.309
20241118.203826	1	42	1	432557	2200	6.419	6.419
20241118.203910	1	42	1	432557	2400	6.499	6.499
20241118.203951	1	42	1	340079	1600	5.309	5.309
20241118.204035	1	42	1	340079	1800	7.199	7.199
20241118.204115	1	42	1	340079	2000	6.679	6.679
20241118.204156	1	42	1	340079	2200	6.439	6.439
20241118.204240	1	42	1	340079	2400	6.269	6.269
20241118.204326	1	42	1	798923	1600	5.429	5.429
20241118.204407	1	42	1	798923	1800	6.469	6.469
20241118.204451	1	42	1	798923	2000	7.379	7.379
20241118.204532	1	42	1	798923	2200	7.319	7.319
20241118.204617	1	42	1	798923	2400	7.159	7.159
20241118.204700	1	42	1	104123	1600	6.429	6.429
20241118.204745	1	42	1	104123	1800	6.979	6.979
20241118.204826	1	42	1	104123	2000	6.359	6.359
20241118.204907	1	42	1	104123	2200	6.209	6.209
20241118.204948	1	42	1	104123	2400	5.479	5.479
20241118.205030	1	42	1	355321	1600	7.449	7.449
20241118.205110	1	42	1	355321	1800	7.659	7.659
20241118.205151	1	42	1	355321	2000	7.839	7.839
20241118.205231	1	42	1	355321	2200	7.229	7.229
20241118.205312	1	42	1	355321	2400	7.799	7.799
20241118.205353	1	42	1	706633	1600	5.419	5.419
20241118.205434	1	42	1	706633	1800	6.869	6.869
20241118.205515	1	42	1	706633	2000	6.729	6.729
20241118.205556	1	42	1	706633	2200	6.499	6.499
20241118.205636	1	42	1	706633	2400	6.299	6.299
20241118.205642	1	42	20	-1	1600	6.3215	6.3215
20241118.205647	1	42	20	-1	1800	6.7485	6.7485
20241118.205651	1	42	20	-1	2000	6.6795	6.6795
20241118.205656	1	42	20	-1	2200	6.6205	6.6205
20241118.205701	1	42	20	-1	2400	6.8245	6.8245
