fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241029.002046	1	5	1	275459	1600	2.569	2.569
20241029.002120	1	5	1	275459	1800	2.869	2.869
20241029.002150	1	5	1	275459	2000	2.159	2.159
20241029.002220	1	5	1	275459	2200	1.899	1.899
20241029.002249	1	5	1	275459	2400	2.069	2.069
20241029.002320	1	5	1	933241	1600	5.709	5.709
20241029.002350	1	5	1	933241	1800	5.439	5.439
20241029.002420	1	5	1	933241	2000	5.659	5.659
20241029.002450	1	5	1	933241	2200	5.079	5.079
20241029.002519	1	5	1	933241	2400	4.829	4.829
20241029.002551	1	5	1	443879	1600	4.619	4.619
20241029.002620	1	5	1	443879	1800	4.829	4.829
20241029.002650	1	5	1	443879	2000	4.279	4.279
20241029.002719	1	5	1	443879	2200	3.629	3.629
20241029.002749	1	5	1	443879	2400	4.219	4.219
20241029.002820	1	5	1	936619	1600	5.819	5.819
20241029.002850	1	5	1	936619	1800	5.329	5.329
20241029.002919	1	5	1	936619	2000	5.019	5.019
20241029.002950	1	5	1	936619	2200	4.809	4.809
20241029.003020	1	5	1	936619	2400	4.609	4.609
20241029.003051	1	5	1	427351	1600	4.269	4.269
20241029.003121	1	5	1	427351	1800	3.729	3.729
20241029.003151	1	5	1	427351	2000	3.169	3.169
20241029.003220	1	5	1	427351	2200	2.959	2.959
20241029.003250	1	5	1	427351	2400	2.969	2.969
20241029.003321	1	5	1	350983	1600	5.149	5.149
20241029.003351	1	5	1	350983	1800	4.919	4.919
20241029.003421	1	5	1	350983	2000	4.779	4.779
20241029.003450	1	5	1	350983	2200	4.679	4.679
20241029.003520	1	5	1	350983	2400	4.529	4.529
20241029.003551	1	5	1	806999	1600	3.759	3.759
20241029.003621	1	5	1	806999	1800	3.969	3.969
20241029.003650	1	5	1	806999	2000	3.719	3.719
20241029.003720	1	5	1	806999	2200	4.379	4.379
20241029.003750	1	5	1	806999	2400	3.859	3.859
20241029.003820	1	5	1	686453	1600	4.999	4.999
20241029.003850	1	5	1	686453	1800	4.479	4.479
20241029.003920	1	5	1	686453	2000	4.309	4.309
20241029.003949	1	5	1	686453	2200	3.729	3.729
20241029.004019	1	5	1	686453	2400	3.539	3.539
20241029.004051	1	5	1	426427	1600	3.149	3.149
20241029.004121	1	5	1	426427	1800	2.629	2.629
20241029.004153	1	5	1	426427	2000	2.059	2.059
20241029.004223	1	5	1	426427	2200	2.679	2.679
20241029.004253	1	5	1	426427	2400	3.279	3.279
20241029.004325	1	5	1	520763	1600	5.239	5.239
20241029.004354	1	5	1	520763	1800	5.399	5.399
20241029.004424	1	5	1	520763	2000	5.279	5.279
20241029.004454	1	5	1	520763	2200	5.109	5.109
20241029.004524	1	5	1	520763	2400	4.569	4.569
20241029.004555	1	5	1	578509	1600	4.779	4.779
20241029.004624	1	5	1	578509	1800	4.119	4.119
20241029.004654	1	5	1	578509	2000	4.199	4.199
20241029.004724	1	5	1	578509	2200	4.049	4.049
20241029.004753	1	5	1	578509	2400	4.159	4.159
20241029.004825	1	5	1	857321	1600	4.909	4.909
20241029.004854	1	5	1	857321	1800	4.899	4.899
20241029.004924	1	5	1	857321	2000	4.729	4.729
20241029.004954	1	5	1	857321	2200	4.239	4.239
20241029.005024	1	5	1	857321	2400	4.049	4.049
20241029.005055	1	5	1	624139	1600	5.129	5.129
20241029.005125	1	5	1	624139	1800	5.349	5.349
20241029.005155	1	5	1	624139	2000	6.359	6.359
20241029.005225	1	5	1	624139	2200	6.539	6.539
20241029.005255	1	5	1	624139	2400	6.339	6.339
20241029.005326	1	5	1	707849	1600	3.259	3.259
20241029.005356	1	5	1	707849	1800	3.779	3.779
20241029.005426	1	5	1	707849	2000	4.399	4.399
20241029.005456	1	5	1	707849	2200	4.549	4.549
20241029.005526	1	5	1	707849	2400	5.179	5.179
20241029.005557	1	5	1	800497	1600	4.609	4.609
20241029.005627	1	5	1	800497	1800	4.089	4.089
20241029.005657	1	5	1	800497	2000	3.939	3.939
20241029.005727	1	5	1	800497	2200	4.539	4.539
20241029.005757	1	5	1	800497	2400	4.619	4.619
20241029.005827	1	5	1	380291	1600	4.399	4.399
20241029.005858	1	5	1	380291	1800	4.599	4.599
20241029.005927	1	5	1	380291	2000	4.409	4.409
20241029.005957	1	5	1	380291	2200	3.839	3.839
20241029.010027	1	5	1	380291	2400	3.979	3.979
20241029.010058	1	5	1	596779	1600	4.799	4.799
20241029.010128	1	5	1	596779	1800	4.709	4.709
20241029.010158	1	5	1	596779	2000	4.649	4.649
20241029.010227	1	5	1	596779	2200	4.849	4.849
20241029.010257	1	5	1	596779	2400	4.749	4.749
20241029.010328	1	5	1	650213	1600	2.859	2.859
20241029.010357	1	5	1	650213	1800	2.629	2.629
20241029.010426	1	5	1	650213	2000	3.169	3.169
20241029.010458	1	5	1	650213	2200	3.019	3.019
20241029.010527	1	5	1	650213	2400	3.199	3.199
20241029.010558	1	5	1	842767	1600	4.689	4.689
20241029.010627	1	5	1	842767	1800	4.529	4.529
20241029.010656	1	5	1	842767	2000	4.639	4.639
20241029.010725	1	5	1	842767	2200	4.739	4.739
20241029.010754	1	5	1	842767	2400	4.189	4.189
20241029.010825	1	5	1	648607	1600	5.469	5.469
20241029.010854	1	5	1	648607	1800	5.239	5.239
20241029.010923	1	5	1	648607	2000	5.909	5.909
20241029.010952	1	5	1	648607	2200	5.289	5.289
20241029.011021	1	5	1	648607	2400	5.109	5.109
20241029.011026	1	5	20	-1	1600	4.509	4.509
20241029.011031	1	5	20	-1	1800	4.3765	4.3765
20241029.011035	1	5	20	-1	2000	4.3415	4.3415
20241029.011040	1	5	20	-1	2200	4.23	4.23
20241029.011044	1	5	20	-1	2400	4.202	4.202
