fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241103.035841	1	50	1	952583	2200	6.179	6.179
20241103.035922	1	50	1	952583	2400	6.019	6.019
20241103.040004	1	50	1	607219	1600	6.499	6.499
20241103.040045	1	50	1	607219	1800	6.369	6.369
20241103.040125	1	50	1	607219	2000	6.159	6.159
20241103.040206	1	50	1	607219	2200	5.629	5.629
20241103.040246	1	50	1	607219	2400	5.849	5.849
20241103.040327	1	50	1	937789	1600	6.099	6.099
20241103.040408	1	50	1	937789	1800	5.979	5.979
20241103.040449	1	50	1	937789	2000	6.169	6.169
20241103.040530	1	50	1	937789	2200	5.659	5.659
20241103.040611	1	50	1	937789	2400	5.899	5.899
20241103.040652	1	50	1	975187	1600	5.789	5.789
20241103.040733	1	50	1	975187	1800	5.619	5.619
20241103.040813	1	50	1	975187	2000	6.209	6.209
20241103.040856	1	50	1	975187	2200	5.979	5.979
20241103.040939	1	50	1	975187	2400	6.669	6.669
20241103.041023	1	50	1	978511	1600	5.769	5.769
20241103.041103	1	50	1	978511	1800	5.189	5.189
20241103.041144	1	50	1	978511	2000	5.819	5.819
20241103.041225	1	50	1	978511	2200	5.699	5.699
20241103.041305	1	50	1	978511	2400	6.409	6.409
20241103.041351	1	50	1	690997	1600	6.979	6.979
20241103.041433	1	50	1	690997	1800	6.449	6.449
20241103.041516	1	50	1	690997	2000	6.299	6.299
20241103.041601	1	50	1	690997	2200	6.529	6.529
20241103.041643	1	50	1	690997	2400	5.909	5.909
20241103.041726	1	50	1	447991	1600	5.359	5.359
20241103.041807	1	50	1	447991	1800	5.669	5.669
20241103.041848	1	50	1	447991	2000	6.719	6.719
20241103.041929	1	50	1	447991	2200	6.539	6.539
20241103.042009	1	50	1	447991	2400	6.289	6.289
20241103.042051	1	50	1	499127	1600	6.249	6.249
20241103.042132	1	50	1	499127	1800	6.829	6.829
20241103.042212	1	50	1	499127	2000	6.589	6.589
20241103.042254	1	50	1	499127	2200	6.449	6.449
20241103.042334	1	50	1	499127	2400	6.309	6.309
20241103.042417	1	50	1	245989	1600	5.379	5.379
20241103.042458	1	50	1	245989	1800	6.409	6.409
20241103.042539	1	50	1	245989	2000	7.069	7.069
20241103.042619	1	50	1	245989	2200	6.819	6.819
20241103.042700	1	50	1	245989	2400	6.329	6.329
20241103.042743	1	50	1	210907	1600	6.229	6.229
20241103.042823	1	50	1	210907	1800	5.679	5.679
20241103.042903	1	50	1	210907	2000	5.489	5.489
20241103.042944	1	50	1	210907	2200	6.119	6.119
20241103.043024	1	50	1	210907	2400	5.909	5.909
20241103.043107	1	50	1	827633	1600	5.399	5.399
20241103.043147	1	50	1	827633	1800	5.209	5.209
20241103.043228	1	50	1	827633	2000	5.119	5.119
20241103.043309	1	50	1	827633	2200	7.249	7.249
20241103.043350	1	50	1	827633	2400	6.659	6.659
20241103.043432	1	50	1	371453	1600	6.219	6.219
20241103.043512	1	50	1	371453	1800	6.749	6.749
20241103.043553	1	50	1	371453	2000	6.639	6.639
20241103.043635	1	50	1	371453	2200	6.509	6.509
20241103.043716	1	50	1	371453	2400	6.409	6.409
20241103.043722	1	50	20	-1	1600	5.893	5.893
20241103.043727	1	50	20	-1	1800	6.043	6.043
20241103.043732	1	50	20	-1	2000	6.217	6.217
20241103.043736	1	50	20	-1	2200	6.2975	6.2975
20241103.043742	1	50	20	-1	2400	6.2685	6.2685
