fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241029.050125	1	55	1	346559	2400	7.539	7.539
20241029.050207	1	55	1	855787	1600	6.599	6.599
20241029.050248	1	55	1	855787	1800	7.249	7.249
20241029.050329	1	55	1	855787	2000	7.469	7.469
20241029.050411	1	55	1	855787	2200	7.589	7.589
20241029.050453	1	55	1	855787	2400	7.059	7.059
20241029.050535	1	55	1	119291	1600	6.449	6.449
20241029.050618	1	55	1	119291	1800	6.249	6.249
20241029.050700	1	55	1	119291	2000	6.349	6.349
20241029.050741	1	55	1	119291	2200	6.119	6.119
20241029.050822	1	55	1	119291	2400	6.449	6.449
20241029.050911	1	55	1	880301	1600	5.499	5.499
20241029.050953	1	55	1	880301	1800	6.069	6.069
20241029.051037	1	55	1	880301	2000	6.719	6.719
20241029.051119	1	55	1	880301	2200	7.629	7.629
20241029.051200	1	55	1	880301	2400	7.859	7.859
20241029.051243	1	55	1	144541	1600	5.829	5.829
20241029.051325	1	55	1	144541	1800	5.269	5.269
20241029.051408	1	55	1	144541	2000	6.009	6.009
20241029.051451	1	55	1	144541	2200	6.899	6.899
20241029.051532	1	55	1	144541	2400	6.669	6.669
20241029.051615	1	55	1	709853	1600	6.569	6.569
20241029.051708	1	55	1	709853	1800	6.389	6.389
20241029.051749	1	55	1	709853	2000	6.209	6.209
20241029.051830	1	55	1	709853	2200	6.499	6.499
20241029.051911	1	55	1	709853	2400	6.669	6.669
20241029.051916	1	55	20	-1	1600	6.4095	6.4095
20241029.051921	1	55	20	-1	1800	6.571	6.571
20241029.051925	1	55	20	-1	2000	6.7375	6.7375
20241029.051930	1	55	20	-1	2200	6.812	6.812
20241029.051935	1	55	20	-1	2400	6.7875	6.7875
