fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241030.025455	1	47	1	114661	1600	5.769	5.769
20241030.025539	1	47	1	114661	1800	5.989	5.989
20241030.025620	1	47	1	114661	2000	5.399	5.399
20241030.025700	1	47	1	114661	2200	4.909	4.909
20241030.025742	1	47	1	114661	2400	5.439	5.439
20241030.025823	1	47	1	151637	1600	5.829	5.829
20241030.025903	1	47	1	151637	1800	7.229	7.229
20241030.025944	1	47	1	151637	2000	7.039	7.039
20241030.030024	1	47	1	151637	2200	7.229	7.229
20241030.030104	1	47	1	151637	2400	7.319	7.319
20241030.030146	1	47	1	195281	1600	5.989	5.989
20241030.030225	1	47	1	195281	1800	5.899	5.899
20241030.030306	1	47	1	195281	2000	6.109	6.109
20241030.030346	1	47	1	195281	2200	5.979	5.979
20241030.030427	1	47	1	195281	2400	5.689	5.689
20241030.030508	1	47	1	992011	1600	6.469	6.469
20241030.030549	1	47	1	992011	1800	5.809	5.809
20241030.030628	1	47	1	992011	2000	5.579	5.579
20241030.030711	1	47	1	992011	2200	5.409	5.409
20241030.030754	1	47	1	992011	2400	6.059	6.059
20241030.030837	1	47	1	751199	1600	4.109	4.109
20241030.030918	1	47	1	751199	1800	4.739	4.739
20241030.031000	1	47	1	751199	2000	4.569	4.569
20241030.031042	1	47	1	751199	2200	4.699	4.699
20241030.031123	1	47	1	751199	2400	5.719	5.719
20241030.031208	1	47	1	472687	1600	4.549	4.549
20241030.031254	1	47	1	472687	1800	4.829	4.829
20241030.031337	1	47	1	472687	2000	5.399	5.399
20241030.031418	1	47	1	472687	2200	5.899	5.899
20241030.031503	1	47	1	472687	2400	5.739	5.739
20241030.031545	1	47	1	597271	1600	5.969	5.969
20241030.031626	1	47	1	597271	1800	5.779	5.779
20241030.031708	1	47	1	597271	2000	5.779	5.779
20241030.031749	1	47	1	597271	2200	5.959	5.959
20241030.031830	1	47	1	597271	2400	5.789	5.789
20241030.031915	1	47	1	879881	1600	5.789	5.789
20241030.032000	1	47	1	879881	1800	5.929	5.929
20241030.032039	1	47	1	879881	2000	6.079	6.079
20241030.032121	1	47	1	879881	2200	5.989	5.989
20241030.032201	1	47	1	879881	2400	6.239	6.239
20241030.032244	1	47	1	309481	1600	5.359	5.359
20241030.032324	1	47	1	309481	1800	4.859	4.859
20241030.032405	1	47	1	309481	2000	5.009	5.009
20241030.032450	1	47	1	309481	2200	4.629	4.629
20241030.032534	1	47	1	309481	2400	4.779	4.779
20241030.032615	1	47	1	587341	1600	5.829	5.829
20241030.032656	1	47	1	587341	1800	7.229	7.229
20241030.032737	1	47	1	587341	2000	7.039	7.039
20241030.032818	1	47	1	587341	2200	7.229	7.229
20241030.032858	1	47	1	587341	2400	7.319	7.319
20241030.032944	1	47	1	286249	1600	5.109	5.109
20241030.033025	1	47	1	286249	1800	4.549	4.549
