fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241103.233445	1	34	1	456193	1600	5.349	5.349
20241103.233530	1	34	1	456193	1800	5.679	5.679
20241103.233610	1	34	1	456193	2000	5.119	5.119
20241103.233653	1	34	1	456193	2200	4.929	4.929
20241103.233735	1	34	1	456193	2400	5.149	5.149
20241103.233818	1	34	1	582763	1600	5.489	5.489
20241103.233900	1	34	1	582763	1800	6.019	6.019
20241103.233939	1	34	1	582763	2000	5.469	5.469
20241103.234021	1	34	1	582763	2200	5.599	5.599
20241103.234101	1	34	1	582763	2400	6.259	6.259
20241103.234146	1	34	1	567751	1600	7.439	7.439
20241103.234229	1	34	1	567751	1800	7.619	7.619
20241103.234311	1	34	1	567751	2000	8.239	8.239
20241103.234351	1	34	1	567751	2200	7.559	7.559
20241103.234431	1	34	1	567751	2400	6.909	6.909
20241103.234512	1	34	1	502093	1600	6.549	6.549
20241103.234557	1	34	1	502093	1800	6.779	6.779
20241103.234641	1	34	1	502093	2000	6.689	6.689
20241103.234722	1	34	1	502093	2200	6.069	6.069
20241103.234803	1	34	1	502093	2400	5.499	5.499
20241103.234845	1	34	1	111953	1600	5.579	5.579
20241103.234925	1	34	1	111953	1800	5.719	5.719
20241103.235006	1	34	1	111953	2000	5.509	5.509
20241103.235046	1	34	1	111953	2200	6.039	6.039
20241103.235127	1	34	1	111953	2400	5.799	5.799
20241103.235208	1	34	1	278227	1600	4.989	4.989
20241103.235249	1	34	1	278227	1800	4.829	4.829
20241103.235329	1	34	1	278227	2000	4.619	4.619
20241103.235410	1	34	1	278227	2200	4.779	4.779
20241103.235450	1	34	1	278227	2400	4.979	4.979
20241103.235532	1	34	1	848399	1600	5.779	5.779
20241103.235612	1	34	1	848399	1800	5.899	5.899
20241103.235652	1	34	1	848399	2000	5.769	5.769
20241103.235733	1	34	1	848399	2200	5.219	5.219
20241103.235813	1	34	1	848399	2400	5.059	5.059
20241103.235854	1	34	1	869777	1600	6.209	6.209
20241103.235934	1	34	1	869777	1800	6.549	6.549
20241104.000014	1	34	1	869777	2000	6.369	6.369
20241104.000055	1	34	1	869777	2200	6.509	6.509
20241104.000135	1	34	1	869777	2400	5.889	5.889
20241104.000217	1	34	1	952583	1600	7.859	7.859
20241104.000256	1	34	1	952583	1800	8.009	8.009
20241104.000337	1	34	1	952583	2000	7.819	7.819
20241104.000417	1	34	1	952583	2200	8.039	8.039
20241104.000457	1	34	1	952583	2400	7.429	7.429
20241104.000538	1	34	1	607219	1600	5.119	5.119
20241104.000618	1	34	1	607219	1800	5.679	5.679
20241104.000658	1	34	1	607219	2000	6.299	6.299
20241104.000738	1	34	1	607219	2200	5.749	5.749
20241104.000817	1	34	1	607219	2400	5.859	5.859
20241104.000859	1	34	1	937789	1600	5.709	5.709
20241104.000939	1	34	1	937789	1800	5.619	5.619
20241104.001019	1	34	1	937789	2000	5.809	5.809
20241104.001058	1	34	1	937789	2200	5.269	5.269
20241104.001139	1	34	1	937789	2400	6.359	6.359
20241104.001220	1	34	1	975187	1600	6.329	6.329
20241104.001300	1	34	1	975187	1800	6.159	6.159
20241104.001340	1	34	1	975187	2000	6.459	6.459
20241104.001421	1	34	1	975187	2200	6.579	6.579
20241104.001500	1	34	1	975187	2400	6.379	6.379
20241104.001542	1	34	1	978511	1600	6.129	6.129
20241104.001622	1	34	1	978511	1800	5.929	5.929
20241104.001702	1	34	1	978511	2000	5.799	5.799
20241104.001742	1	34	1	978511	2200	6.439	6.439
20241104.001822	1	34	1	978511	2400	7.029	7.029
20241104.001904	1	34	1	690997	1600	6.379	6.379
20241104.001947	1	34	1	690997	1800	6.099	6.099
20241104.002031	1	34	1	690997	2000	6.289	6.289
20241104.002113	1	34	1	690997	2200	6.009	6.009
20241104.002157	1	34	1	690997	2400	5.779	5.779
20241104.002240	1	34	1	447991	1600	6.549	6.549
20241104.002321	1	34	1	447991	1800	6.439	6.439
20241104.002401	1	34	1	447991	2000	6.989	6.989
20241104.002445	1	34	1	447991	2200	7.329	7.329
20241104.002529	1	34	1	447991	2400	7.149	7.149
20241104.002615	1	34	1	499127	1600	5.459	5.459
20241104.002657	1	34	1	499127	1800	5.259	5.259
20241104.002741	1	34	1	499127	2000	5.449	5.449
20241104.002824	1	34	1	499127	2200	4.889	4.889
20241104.002906	1	34	1	499127	2400	4.579	4.579
20241104.002948	1	34	1	245989	1600	5.349	5.349
20241104.003031	1	34	1	245989	1800	5.529	5.529
20241104.003112	1	34	1	245989	2000	6.229	6.229
20241104.003154	1	34	1	245989	2200	6.409	6.409
20241104.003235	1	34	1	245989	2400	7.069	7.069
20241104.003317	1	34	1	210907	1600	5.449	5.449
20241104.003358	1	34	1	210907	1800	5.729	5.729
20241104.003440	1	34	1	210907	2000	5.449	5.449
20241104.003522	1	34	1	210907	2200	5.159	5.159
20241104.003602	1	34	1	210907	2400	6.199	6.199
20241104.003644	1	34	1	827633	1600	7.279	7.279
20241104.003724	1	34	1	827633	1800	6.819	6.819
20241104.003805	1	34	1	827633	2000	6.769	6.769
20241104.003845	1	34	1	827633	2200	6.159	6.159
20241104.003925	1	34	1	827633	2400	5.899	5.899
20241104.004006	1	34	1	371453	1600	6.129	6.129
20241104.004047	1	34	1	371453	1800	5.989	5.989
20241104.004127	1	34	1	371453	2000	6.229	6.229
20241104.004208	1	34	1	371453	2200	5.699	5.699
20241104.004248	1	34	1	371453	2400	5.499	5.499
20241104.004254	1	34	20	-1	1600	6.056	6.056
20241104.004258	1	34	20	-1	1800	6.1175	6.1175
20241104.004303	1	34	20	-1	2000	6.1685	6.1685
